Northing_m,Easting_m,Elevation_m,Resistivity_ohmm
4253266.0,344578.5,577.5518,2687.23
4253272.0,346369.5,639.906,195.25
4253279.0,336735.3,384.7069,1843.32
4253281.0,328400.8,558.1337,5.07
4253283.0,345478.6,470.5997,1592.29
4253290.0,335248.1,580.2193,230.02
4253294.0,340481.0,610.448,4738.35
4253296.0,326284.0,530.2877,3.66
4253311.0,323814.7,558.851,38.22
4253313.0,333657.0,504.162,290.6
4253329.0,341424.5,400.1311,1374.96
4253334.0,330133.1,401.5032,17.06
4253336.0,331917.3,446.073,20.24
4253345.0,335098.7,574.617,234.61
4253349.0,336543.2,619.9176,766.21
4253352.0,342357.1,518.6912,1181.18
4253354.0,337915.2,468.2244,8593.0
4253371.0,339125.5,542.3471,3319.98
4253375.0,328140.9,552.9807,3.99
4253380.0,343274.0,360.0846,2651.43
4253380.0,346852.6,604.5576,143.13
4253387.0,333454.9,497.8368,228.52
4253392.0,334969.3,568.9476,239.34
4253412.0,344179.1,341.3352,4281.81
4253413.0,329917.0,597.1082,13.35
4253413.0,336367.1,612.8184,527.1
4253415.0,331701.2,438.0279,16.63
4253417.0,345970.1,414.6897,544.32
4253428.0,345079.3,522.3385,2793.1
4253429.0,325916.6,529.4653,5.77
4253432.0,334859.5,565.3962,243.22
4253439.0,340081.6,589.7792,2777.48
4253458.0,337629.7,434.5125,7846.12
4253463.0,334773.6,563.1472,245.93
4253465.0,333238.8,488.4036,162.59
4253473.0,336203.3,605.4271,396.37
4253474.0,347330.9,584.2875,504.01
4253475.0,341025.1,378.9158,2239.35
4253480.0,327854.5,549.2372,3.4
4253481.0,323349.5,564.8244,51.71
4253486.0,334711.7,559.3404,247.62
4253491.0,329700.9,591.6526,10.89
4253494.0,331485.0,432.2389,17.0
4253497.0,341957.8,461.7781,932.15
4253502.0,334667.0,556.2177,248.66
4253509.0,338747.7,524.8738,3818.92
4253514.0,334634.7,554.4246,249.3
4253522.0,334611.5,553.0252,249.68
4253525.0,342874.6,637.9488,1830.33
