easting,northing,gCBGA
304707,4232111,-202.77500000000
333951,4231459,-190.79600000000
328524,4231665,-204.74500000000
310184,4232184,-200.83600000000
304931,4232346,-202.76100000000
338363,4231610,-201.44400000000
347117,4231441,-229.39300000000
310171,4232240,-199.63000000000
310113,4232260,-200.85500000000
310113,4232260,-200.82500000000
338276,4231649,-201.65400000000
338276,4231649,-201.65400000000
292998,4232771,-214.27900000000
305155,4232526,-202.82100000000
333128,4231939,-191.83600000000
331583,4231989,-196.68400000000
355935,4231520,-224.38700000000
350011,4231627,-231.85500000000
352419,4231620,-230.96800000000
330882,4232059,-197.69400000000
353616,4231617,-228.96700000000
354870,4231594,-227.33200000000
289836,4233038,-209.00200000000
316102,4232399,-199.39300000000
332445,4232045,-196.69900000000
295688,4232907,-208.80100000000
310484,4232547,-200.64900000000
310995,4232535,-201.33000000000
355863,4231614,-224.79700000000
299731,4232824,-206.64900000000
312557,4232518,-202.03900000000
309610,4232587,-200.31500000000
310134,4232574,-200.14000000000
308121,4232622,-204.17500000000
308602,4232610,-202.62000000000
305713,4232679,-204.98000000000
306195,4232668,-206.34700000000
306589,4232658,-206.89200000000
306983,4232649,-207.12600000000
307289,4232641,-206.71700000000
330052,4232132,-200.49900000000
314162,4232499,-199.54200000000
305305,4232707,-203.38800000000
341011,4231928,-212.32000000000
329090,4232189,-202.98100000000
324537,4232305,-201.86100000000
315841,4232498,-200.36600000000
315958,4232495,-200.57500000000
315958,4232495,-200.56500000000
317563,4232459,-201.24400000000
314280,4232534,-199.24900000000
312602,4232572,-202.01300000000
312617,4232572,-201.98200000000
307787,4232685,-206.38600000000
307802,4232685,-206.41600000000
305305,4232744,-203.66000000000
305305,4232744,-203.63000000000
331425,4232159,-196.29000000000
332373,4232139,-194.90900000000
328433,4232222,-203.43200000000
327660,4232238,-204.52000000000
324042,4232334,-201.18800000000
328464,4232239,-203.86600000000
327486,4232260,-204.30700000000
326027,4232291,-204.07100000000
323664,4232361,-200.51900000000
322044,4232415,-198.19300000000
322394,4232407,-198.97500000000
319942,4232461,-196.80500000000
320526,4232448,-196.59000000000
318936,4232484,-199.83600000000
316967,4232528,-201.53000000000
315843,4232572,-200.17400000000
317288,4232539,-201.71200000000
317302,4232539,-202.00200000000
324059,4232408,-200.84600000000
319170,4232515,-198.64700000000
298831,4233031,-204.45700000000
298816,4233050,-204.50200000000
332450,4232323,-196.65500000000
335515,4232297,-194.11900000000
344811,4232169,-224.60600000000
331665,4232450,-197.84400000000
298311,4233285,-205.14600000000
322386,4232721,-198.62500000000
320855,4232755,-196.08000000000
337327,4232427,-201.64100000000
333504,4232504,-191.64700000000
311022,4233034,-201.24100000000
311008,4233072,-200.49000000000
298285,4233415,-204.62700000000
289999,4233681,-204.57400000000
290176,4233732,-205.02600000000
290176,4233732,-205.04600000000
343971,4232537,-222.53600000000
290761,4233754,-206.33200000000
354885,4232408,-228.01700000000
291127,4233837,-209.55000000000
326204,4233083,-203.25700000000
334404,4232930,-192.45600000000
291612,4233936,-211.98100000000
298018,4233829,-205.51700000000
299930,4233800,-205.95600000000
298004,4233848,-205.51200000000
330949,4233094,-195.63200000000
339002,4232948,-209.02100000000
290214,4234083,-209.01200000000
290228,4234083,-208.94200000000
347363,4232842,-230.96400000000
299321,4233963,-203.89500000000
292434,4234137,-214.11800000000
296943,4234041,-205.95600000000
331010,4233278,-195.56300000000
292933,4234216,-213.61300000000
289037,4234317,-209.24700000000
306501,4233881,-205.86500000000
337081,4233209,-197.89200000000
295575,4234186,-205.38600000000
293082,4234342,-211.88000000000
352448,4233248,-234.44900000000
351632,4233299,-235.24600000000
350013,4233329,-235.33400000000
342924,4233482,-220.10100000000
343785,4233484,-222.26600000000
330509,4233751,-195.90800000000
327226,4233820,-202.19300000000
317570,4234050,-202.38700000000
332188,4233734,-196.41000000000
330524,4233769,-196.17300000000
315950,4234105,-202.42600000000
327154,4233859,-202.16300000000
325710,4233890,-202.89900000000
320809,4234015,-199.28400000000
317585,4234087,-202.41600000000
296549,4234606,-204.09700000000
295615,4234630,-205.18300000000
324093,4233961,-202.45800000000
320809,4234033,-199.61900000000
319205,4234069,-202.13400000000
311108,4234254,-200.61800000000
312261,4234227,-202.46200000000
309430,4234293,-200.14000000000
307097,4234348,-206.22600000000
307898,4234329,-204.54900000000
325288,4233936,-202.91300000000
324166,4233978,-202.77200000000
324166,4233978,-202.73200000000
320810,4234052,-199.67400000000
320810,4234052,-199.63400000000
319205,4234088,-201.62900000000
317600,4234124,-202.83500000000
317600,4234124,-202.81500000000
311109,4234272,-200.35500000000
332744,4233834,-195.76200000000
295325,4234711,-203.00500000000
295325,4234711,-202.98500000000
332745,4233852,-195.97900000000
295428,4234745,-203.22400000000
290922,4234953,-207.54200000000
289436,4235065,-209.81400000000
343296,4233863,-221.81300000000
355476,4233637,-228.47900000000
355871,4233630,-226.90300000000
355871,4233630,-226.86300000000
354382,4233657,-231.39700000000
344755,4233854,-224.47400000000
345557,4233838,-226.79500000000
293946,4235023,-207.91500000000
293946,4235023,-207.91500000000
330402,4234179,-196.18600000000
303750,4234799,-203.58100000000
298863,4234937,-202.99700000000
303750,4234818,-203.62600000000
356894,4233760,-224.21300000000
300106,4235017,-204.72800000000
348362,4233971,-234.33400000000
334520,4234334,-191.64600000000
350451,4234117,-236.37100000000
343537,4234284,-220.94400000000
297734,4235317,-203.40500000000
336684,4234549,-195.54700000000
288739,4235750,-208.80100000000
298864,4235585,-204.08600000000
289616,4235820,-207.24700000000
304279,4235545,-201.98500000000
290786,4235900,-207.43600000000
355944,4234516,-228.93800000000
329953,4235058,-195.78300000000
333397,4235078,-192.84700000000
333412,4235097,-192.97700000000
340415,4235067,-213.15900000000
330645,4235358,-193.35800000000
308957,4235877,-202.68400000000
315987,4235733,-199.63800000000
316031,4235732,-199.49800000000
317635,4235696,-202.50700000000
319240,4235660,-204.17500000000
325730,4235517,-202.50800000000
327364,4235482,-200.93300000000
294985,4236256,-203.70400000000
296574,4236216,-202.83900000000
298193,4236175,-201.98700000000
299798,4236135,-202.95200000000
301402,4236096,-203.98300000000
303021,4236056,-201.61200000000
304713,4236015,-201.64800000000
307937,4235938,-205.10700000000
309556,4235900,-200.84900000000
311161,4235863,-197.99300000000
312780,4235825,-201.23600000000
319226,4235679,-203.91000000000
341368,4235233,-212.79200000000
311147,4235937,-197.51200000000
319242,4235752,-204.27800000000
319257,4235752,-204.25800000000
335024,4235452,-192.05000000000
306658,4236135,-203.55700000000
336777,4235528,-195.39300000000
355300,4235194,-233.57300000000
355956,4235182,-230.02400000000
301030,4236383,-202.29600000000
319235,4236085,-204.30100000000
348419,4235486,-235.98700000000
349250,4235471,-237.37300000000
351089,4235437,-239.56800000000
303529,4236525,-200.95500000000
303529,4236525,-200.93500000000
303515,4236544,-200.58000000000
352839,4235498,-239.58200000000
347167,4235640,-233.17000000000
337617,4235918,-202.22400000000
