longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
27.28551,-26.81284,1491.0,1520.2073676789278,978695.77,80.86275195993949,-85.97657461763669
27.28833,-26.37833,1478.0,1505.2226573541132,978614.1,25.978516568779014,-141.4276190282669
27.31332,-26.62666,1368.8,1397.2446560467085,978678.98,39.64292491809465,-114.0099847693291
27.31332,-26.395,1525.5,1552.7983062997669,978606.9,32.25587792834267,-134.93240792655791
27.31667,-26.75833,1454.0,1483.036295319681,978688.04,65.62629302125424,-98.6334327719855
27.32167,-26.76167,1465.8,1494.8492679417798,978684.78,65.76782641210593,-100.9121889460587
27.32333,-26.41833,1541.7,1569.1089644233955,978607.0,35.709155007614754,-129.46179196224026
27.33133,-26.88467,1350.0,1379.3965722652815,978716.64,53.06900035776198,-96.46278429151073
27.33467,-26.99667,1423.0,1452.555543578983,978679.76,30.58882164140232,-129.97513308418164
27.34167,-26.45667,1628.5,1656.104018265734,978595.51,48.29364962596446,-131.34024624400146
27.34167,-26.94633,1419.0,1448.4994412807373,978686.31,39.561980895115994,-119.9862420062631
27.34833,-26.35167,1501.1,1528.2381659261866,978602.5,23.393565369653516,-147.04057613992683
27.35417,-26.81799,1429.0,1458.2285843462537,978693.97,59.569494649767876,-96.87146117911084
27.36867,-26.77116,1468.0,1497.0853555647902,978696.87,77.85855585290119,-86.54383730462288
27.37334,-26.98833,1403.6,1433.1193241738954,978688.48,33.92221339547541,-124.42254427015664
27.37833,-26.89999,1382.6,1412.006222576104,978681.18,26.552706595743075,-128.01123268738843
27.37833,-26.38,1557.8,1585.0909363805954,978599.21,35.60535807989072,-139.99230370442723
27.38417,-26.99733,1410.0,1439.5202782198246,978687.06,33.81950611772481,-126.04321641996523
27.38667,-26.32167,1479.8,1506.8666893364177,978599.7,16.15476008236874,-151.91169236237144
27.39633,-26.88718,1366.0,1395.3717241392708,978701.32,42.494345504557714,-110.2610427567592
27.39667,-26.28667,1508.4,1535.3427762938295,978577.51,5.25934253341984,-164.740319705759
27.39999,-26.71249,1445.0,1473.871564045404,978679.47,57.55483278585598,-106.68717231826415
27.40334,-26.9435,1370.0,1399.4458144930238,978693.76,32.08620266022626,-123.84224554464117
27.40334,-26.95332,1382.0,1411.4568454441624,978692.28,33.5950829857029,-123.63962266805072
27.405,-26.19833,1553.5,1580.1326285802652,978565.81,13.701566672301851,-162.1912719608081
27.405,-26.60834,1410.0,1438.3969132602265,978666.69,41.37281693902332,-119.07595392615653
27.41167,-26.94333,1368.5,1397.9380413236713,978693.78,31.653474498423748,-122.29047122049121
27.41667,-26.81734,1459.0,1488.2151543959267,978695.48,70.37690405501053,-91.11681884922675
27.42332,-26.36833,1565.7,1593.0050225935536,978592.91,32.58519713114947,-142.8428489346881
